Gene_1	Gene_2	Expression_Value
S000005896	S000006141	1.39432592
S000001765	S000002999	1.60383124
S000000003	S000001061	1.1226281
S000002826	S000001236	1.16337364
S000005013	S000000627	1.61628497
S000004855	S000000919	1.41870372
S000003071	S000001236	1.12423652
S000006306	S000002879	1.58373084
S000000919	S000001639	1.17545546
S000002156	S000001639	1.31042865
S000006307	S000003538	1.29087429
S000004380	S000001052	1.19103716
S000002156	S000006141	1.28999353
S000004317	S000005480	1.2657308
S000002238	S000005169	1.15897041
S000006052	S000004317	1.50883106
S000005896	S000002999	1.43618059
S000005262	S000002739	1.10828454
S000003259	S000003446	1.3178338
S000003713	S000002466	1.10031544
S000003380	S000002879	1.56175766
S000001802	S000004433	1.31135601
S000004065	S000006247	1.70725046
S000000385	S000001246	1.91898457
S000000214	S000002632	1.72958843
S000005011	S000000780	1.16396593
S000001259	S000004038	1.13185192
S000002156	S000001063	1.18543788
S000004359	S000003044	1.23407597
S000005595	S000001495	1.10110194
S000006011	S000004855	1.63477049
S000001061	S000002826	1.30506454
S000003157	S000002999	2.0473789
S000005245	S000006141	1.66368262
S000001007	S000003317	1.71167866
S000005040	S000005106	1.75374556
S000006349	S000003071	1.14674111
S000002343	S000006336	1.45381922
S000002998	S000005622	1.48865818
S000001765	S000004528	1.74154917
S000003726	S000004440	1.30456826
S000004359	S000003906	1.33275606
S000006314	S000004754	1.17017535
S000004440	S000003071	1.3058107
S000004433	S000003071	1.36487849
S000005819	S000002240	1.45078006
S000001246	S000001395	1.59469135
S000001767	S000002240	1.28609664
S000005245	S000001489	1.62097508
S000005481	S000003266	1.56759383
S000004433	S000002790	1.12473091
S000006336	S000003266	1.34636526
S000003317	S000002239	1.28594679
S000005321	S000003934	1.11631354
S000004034	S000006349	1.1035976
S000001765	S000006052	1.33130812
S000000876	S000004065	1.74555423
S000003672	S000005802	1.2476215
S000006040	S000004065	1.110108
S000005106	S000005399	1.1270533
S000003726	S000004175	1.16127576
S000003726	S000004359	1.16674369
S000004175	S000003091	1.10980344
S000003044	S000005122	1.45516274
S000000876	S000004336	1.24123123
S000004698	S000004535	1.12853377
S000002826	S000005399	1.5452398
S000001410	S000002998	1.31220793
S000003713	S000001639	1.14830958
S000005750	S000006391	1.11050169
S000002855	S000001802	1.63480163
S000002219	S000001246	1.51738303
S000003266	S000002790	1.33819355
S000005169	S000006025	1.11883323
S000006052	S000001331	1.36124605
S000005013	S000005246	1.89298355
S000003472	S000004143	1.2406861
S000006011	S000005589	1.32604738
S000002343	S000003157	1.14201798
S000002855	S000000933	1.22630748
S000003091	S000002233	1.28518959
S000005693	S000006336	1.2875126
S000005819	S000005011	1.3116854
S000001765	S000005819	1.29244478
S000005246	S000005802	1.24333765
S000003703	S000003769	1.37931559
S000005245	S000001007	1.62351089
S000004034	S000002419	1.19349914
S000004175	S000001063	1.19059023
S000003672	S000006336	1.53095367
S000004187	S000005481	1.10417526
S000003446	S000003103	1.6199065
S000000393	S000004019	1.10067349
S000001802	S000003672	1.25360999
S000004317	S000005839	1.30999451
S000004019	S000005839	1.27635875
S000004038	S000002790	1.62997524
S000005693	S000005122	1.15944724
S000001131	S000003672	1.11773698
S000001489	S000002879	1.60500076
S000000325	S000006052	1.11137195
S000001765	S000001489	1.51074575
S000001489	S000005480	1.47317692
S000004528	S000002999	2.05691385
S000004359	S000006247	1.16515948
S000002219	S000005487	1.41750694
S000003672	S000006306	1.41396994
S000005527	S000000135	1.2063044
S000006391	S000002999	1.20470681
S000005708	S000005487	1.27681425
S000004051	S000001052	1.43124923
S000003968	S000001246	1.8467681
S000003115	S000005399	1.18100677
S000004019	S000002156	1.44474583
S000000876	S000003157	1.51627825
S000004433	S000000235	1.12410779
S000003968	S000002790	1.49847122
S000005708	S000005246	1.112647
S000000168	S000005246	1.49595356
S000000168	S000005839	1.21312432
S000004325	S000002233	1.13308018
S000000205	S000004336	1.11174386
S000000168	S000001331	1.17689308
S000003726	S000003350	1.26710912
S000001246	S000006064	1.63254959
S000001525	S000004306	1.2125594
S000001505	S000003508	1.13679343
S000003350	S000003380	2.05191364
S000003713	S000001395	1.6506219
S000000605	S000004034	1.40272598
S000006306	S000003266	1.74553066
S000003884	S000004065	1.64612587
S000002241	S000001280	1.15153372
S000003380	S000006141	1.37972728
S000001919	S000005169	1.25022137
S000002908	S000001183	1.32966899
S000006119	S000002999	1.72540448
S000003259	S000003115	1.55735658
S000003674	S000004019	1.29018938
S000005958	S000005013	1.28191051
S000001401	S000003690	1.15203034
S000004035	S000005169	1.41304643
S000004187	S000001246	1.11866773
S000004200	S000004811	1.14553592
S000004325	S000000188	1.22953853
S000005481	S000003157	1.69239647
S000001664	S000003586	1.14762944
S000002908	S000004325	1.26514737
S000005481	S000002790	1.29494402
S000000605	S000004124	1.1823475
S000001246	S000003317	1.63845597
S000004019	S000005011	1.44690183
S000005011	S000005480	1.39113057
S000003103	S000000919	1.52893619
S000003317	S000004051	1.52517919
S000006306	S000004065	1.71196015
S000004528	S000002233	1.18342191
S000001421	S000001505	1.13007132
S000001190	S000003599	1.19152158
S000003968	S000003446	1.73267818
S000002156	S000001280	1.31138058
S000004038	S000003884	1.50496564
S000005256	S000000292	1.10804479
S000004728	S000001765	1.35071086
S000004364	S000000768	1.11060182
S000006002	S000001246	1.53466686
S000005735	S000001769	1.11010771
S000003968	S000006336	1.4801754
S000001410	S000001314	1.44180648
S000001421	S000005169	1.37294414
S000002793	S000006052	1.31231584
S000000904	S000003350	1.2765044
S000003672	S000003713	1.34613402
S000001767	S000002998	1.26893485
S000005013	S000003157	1.39830772
S000005622	S000006119	1.58850152
S000003906	S000003091	1.56765633
S000003727	S000003317	1.16779416
S000001492	S000000385	1.11195687
S000003091	S000004336	1.10816486
S000005400	S000006000	1.43038668
S000005057	S000001492	1.49903336
S000000904	S000005487	1.5207272
S000000003	S000004051	1.11035642
S000000003	S000002790	1.21845062
S000001217	S000000036	1.35038277
S000005708	S000003317	1.35567045
S000002219	S000000188	1.1604274
S000001410	S000003091	1.25766142
S000006011	S000006002	1.27230574
S000004574	S000001489	1.10303935
S000001628	S000002255	1.23024233
S000001410	S000000780	1.22635188
S000000168	S000006336	1.23725819
S000004957	S000005589	1.25589478
S000004051	S000002239	1.26317298
S000002855	S000004317	1.29357358
S000005693	S000000933	1.17055094
S000005153	S000006052	1.48781499
S000002241	S000004528	1.25747843
S000006011	S000005819	1.32737686
S000005245	S000005839	1.3679365
S000006306	S000001489	1.59514822
S000005262	S000002661	1.10211108
S000005659	S000004065	1.13353801
S000004239	S000003968	1.12325876
S000004957	S000006064	1.12661971
S000000876	S000002240	1.7868954
S000001802	S000001410	1.36523367
S000000273	S000003931	1.22529293
S000002520	S000003769	1.21129851
S000004019	S000003884	1.22840257
S000003380	S000006247	1.36914941
S000000168	S000004433	1.40351495
S000005622	S000003884	1.54443707
S000004175	S000003157	1.42364265
S000004187	S000001131	1.17848203
S000005693	S000000385	1.14368489
S000001280	S000002999	1.44330337
S000000904	S000002879	1.38063045
S000004065	S000001183	1.56534843
S000003906	S000003266	1.60043836
S000001492	S000001007	1.10178252
S000001007	S000004855	1.31708857
S000004157	S000003380	1.94358521
S000000003	S000002240	1.26103889
S000003317	S000005589	1.44506856
S000003713	S000001331	1.4332751
S000001314	S000004332	1.26634085
S000005896	S000005245	1.33879659
S000004065	S000005246	1.79819421
S000000385	S000002826	1.69140566
S000003203	S000004351	1.10163776
S000002156	S000003713	1.42926821
S000003380	S000004317	1.85258605
S000002793	S000003713	1.20909545
S000000003	S000005589	1.2578686
S000005122	S000001395	1.48488584
S000004325	S000002826	1.40244738
S000003932	S000001486	1.34591406
S000003259	S000004336	1.20086271
S000004187	S000001314	1.17954278
S000003906	S000004528	1.63359876
S000005153	S000001564	1.21618238
S000003446	S000005040	1.42969505
S000004210	S000001057	1.15595932
S000004175	S000001395	1.47335627
S000001802	S000003350	1.38685629
S000001395	S000005106	1.46493875
S000002525	S000006278	1.13979503
S000000931	S000003260	1.1013694
S000003159	S000004387	1.43683612
S000004157	S000003968	1.4191493
S000001007	S000002233	1.16647439
S000003725	S000005622	1.13736933
S000003713	S000005480	1.63418574
S000000904	S000005122	1.65618377
S000006336	S000002879	1.5192495
S000002241	S000002998	1.22669815
S000003726	S000001183	1.18522479
S000004157	S000001395	1.33841735
S000005896	S000002233	1.33692838
