Gene_1	Gene_2	Expression_Value
S000001131	S000006306	1.11618486
S000005011	S000003115	1.75564089
S000002241	S000005622	1.24119057
S000003968	S000005589	1.78907542
S000005481	S000006336	1.66763705
S000002706	S000003882	1.34737521
S000001246	S000005480	1.61060136
S000001395	S000002999	1.56034639
S000005481	S000005589	1.52315094
S000001061	S000005400	1.23909894
S000003317	S000004317	1.80161582
S000004351	S000002419	1.12119502
S000000123	S000000385	1.71123074
S000001564	S000005400	1.18111415
S000005559	S000003703	1.17587317
S000005837	S000000123	1.12059399
S000004380	S000001246	1.50136804
S000002998	S000005013	1.65447534
S000001564	S000002239	1.14639046
S000004317	S000006247	1.39555582
S000003259	S000005400	1.52820344
S000000123	S000003884	1.38551601
S000002238	S000001421	1.12277809
S000001635	S000003222	1.15699864
S000005839	S000005011	1.38748662
S000005481	S000002471	1.51486126
S000003391	S000005085	1.20859803
S000002908	S000003968	1.31064582
S000001280	S000005399	1.59622038
S000006011	S000003350	1.30721148
S000001410	S000006247	1.3890446
S000006002	S000000235	1.13169107
S000001395	S000004065	1.55330328
S000000919	S000000627	1.35000504
S000004732	S000005262	1.16117715
S000002826	S000003091	1.80579901
S000005958	S000001280	1.25234513
S000002222	S000001532	1.12194558
S000004035	S000003701	1.108622
S000001664	S000004284	1.18179288
S000005245	S000003266	1.51244998
S000005693	S000003317	1.22208126
S000004830	S000004284	1.11163005
S000000003	S000006141	1.14128497
S000001183	S000002879	1.49890334
S000005896	S000001489	1.58471269
S000000168	S000005122	1.50033706
S000004325	S000005481	1.54966937
S000003446	S000004051	1.6779184
S000002343	S000005499	1.11496813
S000003726	S000005011	1.2127449
S000001767	S000001331	1.23476398
S000004830	S000001767	1.25871852
S000006324	S000002457	1.10193811
S000002793	S000005400	1.28380972
S000003259	S000002826	1.55414841
S000004711	S000003426	1.10051336
S000005622	S000005760	1.45732258
S000003884	S000006336	1.36824392
S000003725	S000003115	1.30864482
S000006119	S000004528	1.84575083
S000004359	S000000627	1.18916267
S000003968	S000001489	1.62715618
S000003044	S000004175	1.1971743
S000003884	S000003115	1.44825133
S000005760	S000002239	1.14864738
S000005169	S000002739	1.1399944
S000005819	S000005589	1.24586673
S000004065	S000006000	1.47979049
S000000385	S000003884	1.64363444
S000005480	S000002419	1.35104541
S000003906	S000006247	1.34227626
S000002908	S000004157	1.27504128
S000002793	S000001314	1.13726182
S000005896	S000003906	1.38049221
S000005316	S000003701	1.29166122
S000002998	S000003713	1.57096465
S000002156	S000003115	1.68963443
S000003380	S000005819	1.47837678
S000000385	S000005246	1.73771722
S000005896	S000005400	1.41359235
S000001007	S000002288	1.17127981
S000003725	S000002879	1.14620647
S000004254	S000002908	1.19493003
S000004187	S000001489	1.13139493
S000004433	S000005040	1.36186697
S000002999	S000000919	1.40932007
S000003906	S000002879	1.55701236
S000003266	S000000919	1.54750743
S000002826	S000000627	1.57949435
S000006052	S000002879	1.48671691
S000001564	S000005589	1.19285813
S000004239	S000005659	1.29004373
S000004325	S000004440	1.34819161
S000006119	S000000385	1.70070295
S000000904	S000006002	1.38809418
S000004038	S000002419	1.27993086
S000005256	S000004202	1.17614929
S000004038	S000005399	1.39460127
S000004200	S000002661	1.1506659
S000005819	S000005106	1.54949947
S000004254	S000004019	1.34060777
S000004433	S000001331	1.41136287
S000000933	S000005839	1.70025511
S000003727	S000001489	1.34132053
S000004254	S000001331	1.16284727
S000001765	S000006336	1.5856926
S000002446	S000000789	1.12237417
S000003563	S000002706	1.15998687
S000004157	S000001489	1.47814105
S000001280	S000005246	1.78030247
S000003317	S000005399	1.27947835
S000005622	S000001246	1.57500894
S000005896	S000006336	1.2377125
S000005429	S000001421	1.15206743
S000006011	S000002240	1.48195383
S000004359	S000005013	1.36661126
S000005013	S000001007	1.69580451
S000004528	S000005819	1.48077837
S000002241	S000005896	1.10894417
S000005659	S000003713	1.23782829
S000003044	S000003884	1.50264773
S000005622	S000004440	1.42290221
S000004187	S000004754	1.10419611
S000003446	S000002239	1.37689826
S000002908	S000000123	1.33888382
S000002536	S000001760	1.11129434
S000001451	S000006187	1.13728686
S000001410	S000000385	1.29206966
S000003713	S000001280	1.8020104
S000000123	S000001052	1.28089122
S000004254	S000004175	1.17112999
S000003884	S000003091	1.57182211
S000001328	S000002504	1.26661653
S000005760	S000003266	1.49632982
S000001410	S000005246	1.3305681
S000002908	S000002471	1.1689086
S000000385	S000004433	1.79935105
S000003727	S000000627	1.35282212
S000003103	S000006141	1.70712342
S000005839	S000005246	1.52356753
S000002998	S000006141	1.78572886
S000003317	S000004528	2.07600559
S000005070	S000002520	1.1353449
S000000595	S000002525	1.10675251
S000002432	S000005480	1.22573563
S000005245	S000001052	1.30271312
S000000904	S000005839	1.23713781
S000004019	S000005622	1.31897853
S000001025	S000002855	1.1851446
S000003091	S000002239	1.4714532
S000005760	S000005040	1.453697
S000000205	S000004065	1.15516083
S000002219	S000005839	1.32768841
S000001802	S000003968	1.28096203
S000001183	S000006247	1.53469041
S000001568	S000001929	1.20090481
S000006002	S000000627	1.12898831
S000005122	S000005819	1.42091201
S000000904	S000003103	1.50973618
S000005589	S000005480	1.60023852
S000001007	S000000627	1.28507166
S000001802	S000003044	1.24634564
S000005621	S000000904	1.24695844
S000005481	S000001489	1.6949285
S000001131	S000002240	1.1142558
S000002905	S000003045	1.15355935
S000005819	S000002471	1.18595271
S000000168	S000005400	1.32272141
S000000919	S000002419	1.10414751
S000001767	S000004332	1.12893682
S000002241	S000000876	1.19834851
S000004306	S000003417	1.2100322
S000005958	S000006247	1.18985907
S000001007	S000003266	1.58823657
S000003674	S000003317	1.32711395
S000001395	S000000919	1.40389546
S000003884	S000001489	1.59527151
S000000010	S000004124	1.1586268
S000006002	S000003044	1.36679511
S000002219	S000004175	1.45945049
S000006011	S000005760	1.31603204
S000000205	S000000933	1.23492341
S000003588	S000005446	1.1475631
S000005693	S000003380	1.30522938
S000006391	S000005760	1.36317736
S000003317	S000002790	1.26350838
S000005481	S000003317	1.81327011
S000000168	S000004855	1.53003107
S000006187	S000003999	1.3985521
S000001331	S000005589	1.30549324
S000005400	S000005011	1.60903043
S000005693	S000000123	1.15663186
S000000168	S000002239	1.30078341
S000000933	S000001639	1.19365332
S000003115	S000001052	1.363656
S000005013	S000001489	1.61131142
S000005896	S000000876	1.45069947
S000000627	S000002288	1.11575988
S000005481	S000004317	1.56807579
S000004019	S000003968	1.56976694
S000002661	S000002329	1.28092035
S000006011	S000002156	1.26949462
S000003674	S000006064	1.18849305
S000003135	S000003214	1.12663954
S000001802	S000006306	1.57542009
S000004433	S000003103	1.28170668
S000002826	S000001280	1.80746708
S000003672	S000003115	1.43335349
S000005246	S000005589	1.64829285
S000000876	S000003350	1.58940425
S000000904	S000002156	1.28924733
S000002793	S000005246	1.23198076
S000003017	S000005316	1.27188632
S000006002	S000006336	1.50907795
S000001332	S000003599	1.13788323
S000001767	S000005481	1.15245415
S000005760	S000001063	1.17263195
S000003625	S000000050	1.39560847
S000006002	S000003446	1.52116915
S000000933	S000003115	1.88637267
S000003884	S000006247	1.29738601
S000003446	S000002240	1.45287739
S000003727	S000002239	1.24980586
S000002156	S000005760	1.65561371
S000001410	S000001280	1.17541358
S000004975	S000000213	1.7863212
S000001395	S000006000	1.64261978
S000001395	S000002471	1.52409725
S000001280	S000002419	1.48383131
S000006002	S000003906	1.45467459
S000005153	S000005246	1.2025859
S000006002	S000003317	1.53984674
S000001767	S000001314	1.27068451
S000003446	S000000933	1.44201464
S000004200	S000005430	1.11651197
S000000904	S000001314	1.63524763
S000002156	S000004317	1.37498276
S000006002	S000002239	1.10805002
S000004530	S000003417	1.13941782
S000003446	S000001314	1.635379
S000005760	S000005589	1.29879192
S000005896	S000005589	1.40750836
S000006002	S000005589	1.42812648
S000000123	S000006336	1.56819994
S000002826	S000004855	1.36633912
S000002826	S000005106	1.35667482
S000003884	S000001052	1.41856004
S000002908	S000003157	1.19608429
S000000933	S000005802	1.45933961
S000005837	S000005839	1.1843264
S000004157	S000003157	1.64454683
S000004175	S000003071	1.10947136
S000001314	S000000188	1.15635527
S000005839	S000001236	1.24405525
S000001492	S000003999	1.64489279
S000004065	S000002233	1.1793652
S000004433	S000005399	1.30219721
S000004433	S000005839	1.40984135
S000003046	S000003931	1.4626579
S000000486	S000000472	1.13752126
S000003044	S000005589	1.37212536
S000000168	S000003044	1.2471542
S000000168	S000002233	1.21030298
S000004563	S000000595	1.10701786
S000006119	S000001331	1.54494115
S000001765	S000000188	1.10489887
S000003044	S000004440	1.65125133
S000003968	S000004433	1.64164698
S000003906	S000006064	1.49854361
S000003713	S000000780	1.4446096
S000003394	S000000542	1.11611991
S000004157	S000004317	1.62764139
S000002241	S000004359	1.10092829
S000004440	S000004528	1.5753016
S000004556	S000004660	1.11670855
S000000003	S000003103	1.16951248
S000003968	S000003713	1.70722294
S000005708	S000000933	1.26431056
S000003157	S000005246	1.56984106
S000006000	S000005399	1.10706325
S000005400	S000002999	1.66911806
S000003071	S000002288	1.10854834
S000001246	S000005040	1.39995118
S000002879	S000000188	1.28889039
S000003701	S000001760	1.16115431
S000003726	S000004051	1.19185731
S000006119	S000003446	1.54630393
S000001492	S000002156	1.16448302
S000004528	S000005246	1.7019518
S000003906	S000003884	1.8676392
S000003725	S000001280	1.1033043
S000001802	S000003115	1.46430181
S000003391	S000000451	1.31030005
S000005758	S000001236	1.10577548
S000006000	S000003091	1.26141436
S000003701	S000002481	1.15796472
S000004351	S000001788	1.20387858
S000003934	S000001213	1.13396722
S000005262	S000004306	1.17367914
S000005429	S000003434	1.10167019
S000006002	S000003103	1.24697951
S000003672	S000006000	1.42719315
S000003726	S000001331	1.33992902
S000003906	S000005399	1.33635775
S000004811	S000003160	1.22058547
S000001564	S000005013	1.14904988
S000005122	S000005480	1.43477732
S000001732	S000003088	1.30476747
S000004051	S000003115	1.54928257
S000006278	S000001106	1.13898865
S000001314	S000002879	1.68710821
S000003727	S000000933	1.18425743
S000005153	S000004051	1.17910223
S000005122	S000004528	1.84248983
S000004732	S000004200	1.13510848
S000003259	S000003091	1.39625982
S000002998	S000003884	1.37071435
S000002908	S000004065	1.19050427
S000003726	S000003044	1.27982453
S000003266	S000000627	1.28130182
S000006336	S000002233	1.16796971
S000002219	S000003115	1.60604831
S000004528	S000001183	1.48054083
S000002432	S000005487	1.16529515
S000002855	S000002219	1.13146328
S000003725	S000001183	1.35569008
S000001919	S000001932	1.16703051
S000000168	S000005481	1.36799191
S000001280	S000002471	1.41864867
S000002156	S000005480	1.28294532
S000004433	S000004336	1.21338902
S000005837	S000005011	1.21854051
S000004157	S000004433	1.68227153
S000004065	S000005819	1.45756763
S000005245	S000000627	1.51731281
S000002432	S000004051	1.10452403
S000000325	S000001106	1.26087379
S000003727	S000004317	1.12832381
S000000168	S000001395	1.44014699
S000001451	S000001213	1.2580058
S000006011	S000006141	1.24992218
S000005481	S000001314	1.93529146
S000006025	S000005316	1.24793429
S000004019	S000004317	1.32173922
S000003727	S000002219	1.2782656
S000006052	S000004855	1.31646572
S000005760	S000006064	1.63148962
S000002908	S000001489	1.17672826
S000002584	S000003434	1.17294425
S000001767	S000006141	1.47746047
S000001664	S000003071	1.1243807
S000005819	S000005246	1.74177181
S000002156	S000004440	1.43838103
S000002219	S000002879	1.36071592
S000006040	S000003148	1.20559992
S000003884	S000005819	1.62174686
S000006119	S000004065	1.78142665
S000004433	S000003115	1.67986824
S000005246	S000000235	1.16363117
S000003130	S000005262	1.21499768
S000002578	S000000737	1.32077686
S000005245	S000006336	1.23180691
S000002666	S000003949	1.27318897
S000001676	S000002921	1.17122837
S000003963	S000004775	1.15681873
S000005708	S000003157	1.34039528
S000005958	S000004051	1.20354553
S000005153	S000000235	1.53923818
S000001635	S000004065	1.14469725
S000004206	S000002578	1.14250483
S000005819	S000001331	1.3859337
S000003727	S000003091	1.17626139
S000005837	S000002240	1.13577295
S000004380	S000003103	1.22485475
S000004359	S000004038	1.27089463
S000001492	S000003157	1.17859679
S000003044	S000001765	1.33288529
S000003672	S000000876	1.52029712
S000000205	S000003968	1.10600635
S000003725	S000002826	1.29554825
S000003727	S000003672	1.19868604
S000002998	S000004051	1.58652297
S000005622	S000001639	1.12988211
S000005595	S000002974	1.15442365
S000003725	S000001802	1.37761743
S000004957	S000005400	1.18744449
S000006391	S000001765	1.33776962
S000003726	S000003968	1.27064732
S000004038	S000001183	1.39086112
S000005559	S000006176	1.23092845
S000002457	S000003424	1.76985968
S000003906	S000002239	1.24970271
S000002998	S000005760	1.43281015
S000002706	S000001633	1.19594393
S000002908	S000003350	1.31976846
S000001767	S000000627	1.25282665
S000002520	S000003420	1.1122221
S000001246	S000006000	1.44662564
S000005246	S000003091	1.6597548
S000006119	S000005480	1.57093492
S000002826	S000005802	1.33174196
S000004038	S000002233	1.29010703
S000001802	S000001331	1.27469527
S000002219	S000002999	1.62016939
S000005708	S000003266	1.13196665
S000005400	S000006141	1.79645298
S000001280	S000004332	1.51460405
S000001492	S000003391	1.13623977
S000003703	S000002457	1.37328393
S000001314	S000002288	1.18699638
S000004187	S000006158	1.17745552
S000005760	S000001331	1.65864201
S000004325	S000003350	1.78631901
S000001767	S000005487	1.26380871
S000006064	S000005802	1.1591359
S000004038	S000001246	1.66599952
S000002908	S000004440	1.23698824
S000005122	S000006247	1.7206024
S000006002	S000001007	1.60887866
S000002156	S000003266	1.43104563
S000003968	S000005040	1.32025832
S000003391	S000003999	1.5076338
S000003044	S000001395	1.36751465
S000001919	S000005559	1.29645446
S000005122	S000003380	1.46942001
S000006119	S000005487	1.53362318
S000004325	S000005896	1.20753569
S000005551	S000004603	1.15149651
S000001492	S000006002	1.18314423
S000003417	S000005163	1.15678856
S000001410	S000001052	1.16689526
S000003725	S000006064	1.24079871
S000000123	S000005802	1.44882708
S000000904	S000006011	1.45280736
S000005246	S000002419	1.1166017
S000006052	S000006000	1.45091878
S000001007	S000005589	1.66761609
S000002793	S000005013	1.33682633
S000002998	S000005106	1.31294458
S000003674	S000001489	1.25553096
S000003380	S000005839	1.42801495
S000004051	S000000919	1.49619909
S000001765	S000004440	1.520126
S000004325	S000005245	1.28629071
S000004325	S000003380	1.82943874
S000002432	S000001183	1.21846499
S000002855	S000003266	1.16538506
S000000183	S000000993	1.21787041
S000005659	S000000919	1.13194584
S000004528	S000004065	1.90053955
S000001451	S000005750	1.10183422
S000003266	S000001052	1.46896998
S000004440	S000006000	1.38403454
S000004380	S000004440	1.45330245
S000004528	S000004336	1.32759076
S000003044	S000005106	1.27174907
S000000168	S000002156	1.21445978
S000002219	S000003446	1.51261514
S000000168	S000000235	1.16900259
S000001765	S000006247	1.68757853
S000005896	S000002826	1.43556423
S000002855	S000004175	1.16375644
S000005819	S000001183	1.60529932
S000006278	S000001280	1.20730753
S000006391	S000005802	1.38359927
S000002793	S000005481	1.15986713
S000002313	S000004957	1.13514326
S000004317	S000005399	1.19811032
S000000066	S000003925	1.09870622
S000000876	S000000188	1.10139568
S000000876	S000001395	1.4201603
S000001007	S000006306	1.725723
S000001057	S000005559	1.29067606
S000006240	S000003703	1.17506246
S000003672	S000005246	1.34099896
S000004359	S000005246	1.39210845
S000004038	S000005191	1.22941982
S000004065	S000005040	1.28955857
S000001883	S000000249	1.29721777
S000006336	S000005246	1.48350719
S000005708	S000006306	1.38678164
S000002156	S000006119	1.62106436
S000005659	S000003906	1.11992106
S000005693	S000002471	1.21610143
S000002241	S000005013	1.21450381
S000004157	S000003071	1.22325556
S000003713	S000004317	1.57474764
S000001007	S000003103	1.46892036
S000005245	S000005819	1.37417436
S000006324	S000001217	1.13722435
S000000013	S000002974	1.12567969
S000000933	S000002790	1.3259703
S000004440	S000002419	1.21743485
S000000385	S000005245	1.52027475
S000001007	S000002240	1.53783961
S000004732	S000002238	1.13615171
S000004855	S000002233	1.32708298
S000002219	S000004336	1.19316167
S000005819	S000005487	1.45337174
